CLUSTER,number_of_panels_total
0,2012472
0,3848056
0,5462549
0,6377373
0,7720530
0,8138951
0,9054358
0,9189162
0,10771199
0,11387665
0,13001474
0,21582607
0,29953011
0,36827430
0,43573776
0,47392985
0,47690577
0,61617355
0,65662303
0,69012222
0,74914378
0,79313415
0,82459475
0,84085928
0,93316636
0,101760834
0,107938362
0,117024307
0,124233257
0,133691386
0,140137704
0,147876285
0,158795495
0,164251624
0,171901596
1,463123814
1,481747525
1,654783517
2,19873246
2,23093899
2,29605361
2,32218920
2,36012747
2,43616656
2,44105531
2,60560124
2,69425443
2,77644088
2,80308875
2,147450436
